sayso_subcategory_slug,fsq_category_id,fsq_category_name,count
bars,4bf58dd8d48988d1e0931735,Coffee Shop,1
bars,4bf58dd8d48988d143941735,Breakfast Spot,1
bars,4bf58dd8d48988d1cc941735,Steakhouse,1
bars,4def73e84765ae376e57713a,Portuguese Restaurant,1
bars,4bf58dd8d48988d179941735,Bagel Shop,1
bars,4bf58dd8d48988d16c941735,Burger Joint,1
bars,4bf58dd8d48988d1fa931735,Hotel,1
bars,4bf58dd8d48988d110941735,Italian Restaurant,2
bars,4d4b7105d754a06374d81259,Restaurant,1
bars,4bf58dd8d48988d129941735,City Hall,1
bars,4bf58dd8d48988d1db931735,Tapas Restaurant,2
bars,4bf58dd8d48988d137941735,Theater,1
bars,4bf58dd8d48988d16d941735,Café,3
bars,4bf58dd8d48988d1c8941735,African Restaurant,2
bars,4bf58dd8d48988d117941735,Beer Garden,2
bars,52e81612bcbc57f1066b7a06,Irish Pub,2
bars,4bf58dd8d48988d121941735,Lounge,2
bars,4bf58dd8d48988d1d8941735,Gay Bar,2
bars,4bf58dd8d48988d119941735,Hookah Bar,1
bars,4bf58dd8d48988d1d5941735,Hotel Bar,4
bars,4bf58dd8d48988d123941735,Wine Bar,3
bars,4bf58dd8d48988d1e8931735,Piano Bar,1
bars,4bf58dd8d48988d11b941735,Pub,24
bars,50327c8591d4c4b30a586d5d,Brewery,3
bars,4bf58dd8d48988d122941735,Whisky Bar,1
bars,4bf58dd8d48988d11e941735,Cocktail Bar,8
bars,4bf58dd8d48988d116941735,Bar,6
bars,4bf58dd8d48988d155941735,Gastropub,22
books,4bf58dd8d48988d1fd941735,Shopping Mall,1
books,4bf58dd8d48988d11f941735,Night Club,1
books,4bf58dd8d48988d1df931735,BBQ Joint,1
books,4bf58dd8d48988d1e0931735,Coffee Shop,1
books,4bf58dd8d48988d149941735,Thai Restaurant,1
books,4bf58dd8d48988d1ed941735,Spa,1
books,52e81612bcbc57f1066b7a02,Belgian Restaurant,1
books,4bf58dd8d48988d1d2941735,Sushi Restaurant,1
books,4bf58dd8d48988d1c1941735,Mexican Restaurant,1
books,4bf58dd8d48988d1d5941735,Hotel Bar,1
books,52e81612bcbc57f1066b7a21,National Park,1
books,4bf58dd8d48988d1f5931735,Dim Sum Restaurant,1
books,4bf58dd8d48988d10c941735,French Restaurant,1
books,4bf58dd8d48988d1ee931735,Hostel,2
books,4bf58dd8d48988d1e8931735,Piano Bar,1
books,4fceea171983d5d06c3e9823,Aquarium,1
books,4bf58dd8d48988d1db931735,Tapas Restaurant,1
books,4f4530164b9074f6e4fb00ff,Tourist Information and Service,1
books,5744ccdfe4b0c0459246b4dc,Shopping Plaza,1
books,4bf58dd8d48988d1cc941735,Steakhouse,1
books,4bf58dd8d48988d17f941735,Movie Theater,1
books,4bf58dd8d48988d175941735,Gym and Studio,1
books,4bf58dd8d48988d137941735,Theater,1
books,4d4b7105d754a06374d81259,Restaurant,3
books,4bf58dd8d48988d122941735,Whisky Bar,1
books,4bf58dd8d48988d1fa931735,Hotel,7
