fsq_category_id,fsq_category_name,sayso_subcategory_slug,sayso_category_slug,count
4bf58dd8d48988d1e2931735,Art Gallery,galleries,,85
4bf58dd8d48988d1ed941735,Spa,spas,,82
4bf58dd8d48988d110951735,Hair Salon,salons,,74
4bf58dd8d48988d16d941735,Café,cafes,,64
4bf58dd8d48988d103951735,Clothing Store,fashion,,57
4bf58dd8d48988d16e941735,Fast Food Restaurant,fast-food,,50
4bf58dd8d48988d10a951735,Bank,finance-insurance,,39
4bf58dd8d48988d11f941735,Night Club,nightlife,,39
4bf58dd8d48988d175941735,Gym and Studio,gyms,,38
4bf58dd8d48988d1f8941735,Furniture and Home Store,home-decor,,38
4bf58dd8d48988d114951735,Bookstore,books,,32
4bf58dd8d48988d137941735,Theater,theaters,,31
4f04afc02fb6e1c99f3db0bc,Mobile Phone Store,electronics,,31
4bf58dd8d48988d1e0931735,Coffee Shop,cafes,,27
4bf58dd8d48988d122951735,Electronics Store,electronics,,26
4bf58dd8d48988d176941735,Gym,gyms,,25
4bf58dd8d48988d11b941735,Pub,bars,,24
4bf58dd8d48988d159941735,Hiking Trail,hiking,,24
4bf58dd8d48988d155941735,Gastropub,bars,,22
4f04aa0c2fb6e1c99f3db0b8,Nail Salon,nail-salons,,20
4bf58dd8d48988d17f941735,Movie Theater,cinemas,,20
4bf58dd8d48988d190941735,History Museum,museums,,17
4bf58dd8d48988d100951735,Pet Supplies Store,pet-services,,17
4bf58dd8d48988d18e941735,Comedy Club,comedy-clubs,,16
4bf58dd8d48988d1ef941735,Rental Car Location,transport-travel,,15
4bf58dd8d48988d181941735,Museum,museums,,14
4bf58dd8d48988d110941735,Italian Restaurant,restaurants,,12
4f04b08c2fb6e1c99f3db0bd,Travel Agency,transport-travel,,12
4bf58dd8d48988d15e941735,Swimming Pool,water-sports,,12
4d4b7105d754a06374d81259,Restaurant,restaurants,,11
5453de49498eade8af355881,Business Service,miscellaneous,,11
4d954af4a243a5684765b473,Veterinarian,veterinarians,,10
56aa371be4b08b9a8d573517,Business Center,miscellaneous,,10
4bf58dd8d48988d16c941735,Burger Joint,restaurants,,9
4bf58dd8d48988d116941735,Bar,nightlife,,9
4bf58dd8d48988d1a7941735,College Library,education-learning,,9
4bf58dd8d48988d12f941735,Library,education-learning,,9
4bf58dd8d48988d11e941735,Cocktail Bar,bars,,8
4bf58dd8d48988d13d941735,High School,education-learning,,8
4f04b25d2fb6e1c99f3db0c0,Travel Lounge,transport-travel,,8
4e4c9077bd41f78e849722f9,Bike Rental,cycling,,8
4bf58dd8d48988d1c8941735,African Restaurant,restaurants,,7
4bf58dd8d48988d1fa931735,Hotel,spas,,7
4bf58dd8d48988d102941735,Yoga Studio,wellness,,7
4bf58dd8d48988d124941735,Office,miscellaneous,,7
4bf58dd8d48988d1f1941735,Board Store,water-sports,,7
5032792091d4c4b30a586d5c,Concert Hall,concerts,,7
4bf58dd8d48988d102951735,Fashion Accessories Store,fashion,,7
4bf58dd8d48988d111941735,Japanese Restaurant,restaurants,,6
4bf58dd8d48988d10f941735,Indian Restaurant,restaurants,,6
4bf58dd8d48988d10a941735,Ethiopian Restaurant,restaurants,,6
4bf58dd8d48988d1cc941735,Steakhouse,restaurants,,6
4bf58dd8d48988d1ce941735,Seafood Restaurant,restaurants,,6
52f2ab2ebcbc57f1066b8b47,Boxing Gym,gyms,,6
58daa1558bbb0b01f18ec1f1,Insurance Agency,finance-insurance,,6
4bf58dd8d48988d1e3941735,Surf Spot,water-sports,,6
4deefb944765f83613cdba6e,Historic and Protected Site,camping,,6
4bf58dd8d48988d171941735,Event Space,events-festivals,,6
4f4532974b9074f6e4fb0104,Daycare,childcare,,6
4bf58dd8d48988d1b1941735,College Bookstore,books,,6
4def73e84765ae376e57713a,Portuguese Restaurant,restaurants,,5
4bf58dd8d48988d10c941735,French Restaurant,restaurants,,5
4bf58dd8d48988d1d2941735,Sushi Restaurant,restaurants,,5
4bf58dd8d48988d1ca941735,Pizzeria,restaurants,,5
4eb1d4d54b900d56c88a45fc,Mountain,hiking,,5
4f4533804b9074f6e4fb0105,Elementary School,education-learning,,5
5f2c43a65b4c177b9a6dcc62,Blood Bank,finance-insurance,,5
4e39a956bd410d7aed40cbc3,Tennis Court,sports-recreation,,5
5032897c91d4c4b30a586d69,Pet Service,pet-services,,5
4bf58dd8d48988d108951735,Women's Store,fashion,,5
4bf58dd8d48988d1db931735,Tapas Restaurant,restaurants,,4
4bf58dd8d48988d146941735,Deli,restaurants,,4
4bf58dd8d48988d1c1941735,Mexican Restaurant,restaurants,,4
4bf58dd8d48988d123941735,Wine Bar,nightlife,,4
4bf58dd8d48988d1d5941735,Hotel Bar,bars,,4
52f2ab2ebcbc57f1066b8b3c,Massage Clinic,spas,,4
52e81612bcbc57f1066b7a48,Language School,education-learning,,4
4f4533814b9074f6e4fb0107,Nursery School,education-learning,,4
4bf58dd8d48988d1b3941735,Medical School,education-learning,,4
4bf58dd8d48988d1ae941735,University,camping,,4
4d4b7105d754a06372d81259,College and University,camping,,4
4bf58dd8d48988d1f2941735,Sporting Goods Retail,sports-recreation,,4
4bf58dd8d48988d115951735,Bicycle Store,sports-recreation,,4
4bf58dd8d48988d174941735,Coworking Space,miscellaneous,,4
4bf58dd8d48988d11d941735,Sports Bar,sports-recreation,,4
4bf58dd8d48988d18f941735,Art Museum,museums,,4
4bf58dd8d48988d135941735,Indie Theater,theaters,,4
4bf58dd8d48988d107951735,Shoe Store,fashion,,4
4bf58dd8d48988d111951735,Jewelry Store,fashion,,4
